text,label
太好了你終咧？,0
太好真的假的,0
蛤？太好了你,0
真的假的，太好了你終,0
你剛剛不是說太好了你？,0
你剛剛不是說太好了你終？,0
真的假的，太好了你,0
結果太好了,0
他們說太好了是真的嗎？,0
太好啦,0
好奇問一下，太好了你終,0
怎麼會這樣，太好了你終,0
你會太好了你終嗎？,0
蛤？太好了,0
太好怎麼了？,0
好奇問一下，太好,0
所以你覺得太好？,0
你說太好了你終是對的嗎？,0
我不懂，太好了,0
結果太好了你終,0
你會太好了嗎？,0
太好欸,0
太好了啦,0
好奇問一下，太好了,0
真的假的，太好了,0
所以你覺得太好了？,0
太好了怎麼了？,0
蛤？太好,0
所以你覺得太好了你？,0
太好了你真的假的,0
太好了你欸,0
結果太好,0
那如果是你你會怎樣？,0
所以現在是太好了你,0
他們說太好了你終是真的嗎？,0
蛤？太好了你終,0
我不懂，太好,0
你剛剛不是說太好？,0
怎麼會這樣，太好,0
他們說太好了你是真的嗎？,0
太好了你終啦,0
太好了你終怎麼了？,0
太好了到底怎麼回事？,0
你怎麼看太好？,0
太好到底怎麼回事？,0
我不懂，太好了你,0
結果太好了你,0
你說太好了你是對的嗎？,0
太好咧？,0
好奇問一下，太好了你,0
真的假的，太好,0
他們說太好是真的嗎？,0
你怎麼看太好了？,0
你說太好是對的嗎？,0
太好了你終到底怎麼回事？,0
我不懂，太好了你終,0
那怎麼辦？,0
太好了你終真的假的,0
所以現在是太好,0
太好了你到底怎麼回事？,0
太好了欸,0
太好了你啦,0
你說太好了是對的嗎？,0
怎麼會這樣，太好了,0
這樣是不是不太好？,0
所以現在是太好了,0
你會太好了你嗎？,0
你剛剛不是說太好了？,0
你會太好嗎？,0
你怎麼看太好了你？,0
怎麼會這樣，太好了你,0
怎麼會這樣，你終,1
真的假的，你終,1
好奇問一下，你終於,1
真的假的，你終於,1
你剛剛不是說你終？,1
你終於真的假的,1
好奇問一下，你終,1
你終於來了欸,1
他們說你終是真的嗎？,1
你會你終嗎？,1
蛤？你終,1
好奇問一下，你終於來,1
所以現在是你終於來了,1
你終於來怎麼了？,1
怎麼會這樣，你終於來了,1
我不懂，你終於,1
你終於來啦,1
結果你終,1
你終到底怎麼回事？,1
你終於來真的假的,1
他們說你終於是真的嗎？,1
我不懂，你終於來了,1
我不懂，你終,1
好奇問一下，你終於來了,1
你剛剛不是說你終於來了？,1
所以你覺得你終於？,1
真的假的，你終於來,1
你說你終於來是對的嗎？,1
所以現在是你終,1
所以現在是你終於,1
結果你終於,1
你怎麼看你終？,1
你剛剛不是說你終於來？,1
那如果是你你會怎樣？,1
他們說你終於來是真的嗎？,1
你會你終於來了嗎？,1
怎麼會這樣，你終於來,1
你終咧？,1
你怎麼看你終於來？,1
你終怎麼了？,1
你剛剛不是說你終於？,1
真的假的，你終於來了,1
你終於來了怎麼了？,1
所以現在是你終於來,1
你終於啦,1
那怎麼辦？,1
你會你終於嗎？,1
你說你終於來了是對的嗎？,1
你說你終於是對的嗎？,1
你終於來了啦,1
你終於來到底怎麼回事？,1
你終欸,1
你終真的假的,1
結果你終於來了,1
你終於來了咧？,1
你怎麼看你終於來了？,1
他們說你終於來了是真的嗎？,1
這樣是不是不太好？,1
你終於欸,1
你終於來欸,1
你怎麼看你終於？,1
蛤？你終於來,1
你終於來咧？,1
所以你覺得你終？,1
蛤？你終於來了,1
我不懂，你終於來,1
你全身怎麼了？,2
我不懂，你全身都濕,2
怎麼會這樣，你全身都,2
你會你全嗎？,2
你全到底怎麼回事？,2
你全身到底怎麼回事？,2
好奇問一下，你全身,2
你全身啦,2
你全身都啦,2
你全身都真的假的,2
你說你全是對的嗎？,2
你怎麼看你全身都濕？,2
你全身都欸,2
你會你全身嗎？,2
蛤？你全,2
你全身都濕啦,2
你會你全身都濕嗎？,2
他們說你全身都濕是真的嗎？,2
蛤？你全身,2
所以你覺得你全？,2
真的假的，你全,2
蛤？你全身都濕,2
你說你全身都是對的嗎？,2
我不懂，你全身,2
你全身都咧？,2
你全身都濕到底怎麼回事？,2
你說你全身是對的嗎？,2
你剛剛不是說你全身？,2
那如果是你你會怎樣？,2
你剛剛不是說你全身都？,2
你全身真的假的,2
所以你覺得你全身都？,2
好奇問一下，你全身都,2
你會你全身都嗎？,2
你全真的假的,2
所以現在是你全,2
真的假的，你全身都濕,2
你全欸,2
所以現在是你全身都,2
所以現在是你全身,2
你全身都怎麼了？,2
怎麼會這樣，你全身都濕,2
你全身都濕欸,2
你怎麼看你全？,2
真的假的，你全身都,2
你全怎麼了？,2
他們說你全身都是真的嗎？,2
結果你全身,2
蛤？你全身都,2
真的假的，你全身,2
怎麼會這樣，你全身,2
那怎麼辦？,2
你全身咧？,2
你剛剛不是說你全？,2
你全身欸,2
怎麼會這樣，你全,2
你全身都到底怎麼回事？,2
你說你全身都濕是對的嗎？,2
所以現在是你全身都濕,2
他們說你全身是真的嗎？,2
你全咧？,2
這樣是不是不太好？,2
好奇問一下，你全身都濕,2
所以你覺得你全身？,2
你全身都濕咧？,2
所以你覺得你全身都濕？,2
我不懂，你全身都,2
你怎麼看你全身都？,2
你剛剛不是說你全身都濕？,2
你全身都濕怎麼了？,2
結果你全身都,2
你全身都濕真的假的,2
他們說你沒是真的嗎？,3
他們說你沒有來是真的嗎？,3
所以現在是你沒有來學,3
好奇問一下，你沒,3
你沒有來欸,3
你沒有來學欸,3
他們說你沒有來學是真的嗎？,3
蛤？你沒有來,3
你沒有怎麼了？,3
所以現在是你沒,3
你沒有來真的假的,3
蛤？你沒有,3
我不懂，你沒,3
你沒有來學咧？,3
你沒真的假的,3
結果你沒有來,3
我不懂，你沒有,3
你沒有來到底怎麼回事？,3
你剛剛不是說你沒有來？,3
你沒啦,3
你沒有啦,3
我不懂，你沒有來,3
你沒有來啦,3
你沒咧？,3
你沒有來學到底怎麼回事？,3
你沒有真的假的,3
所以你覺得你沒？,3
好奇問一下，你沒有,3
你會你沒有嗎？,3
那如果是你你會怎樣？,3
你說你沒有是對的嗎？,3
你沒有到底怎麼回事？,3
你會你沒有來嗎？,3
你沒有來學怎麼了？,3
你沒有咧？,3
你沒到底怎麼回事？,3
你怎麼看你沒有來學？,3
好奇問一下，你沒有來學,3
你說你沒有來學是對的嗎？,3
怎麼會這樣，你沒有,3
所以現在是你沒有來,3
他們說你沒有是真的嗎？,3
你怎麼看你沒？,3
真的假的，你沒有來學,3
你怎麼看你沒有？,3
結果你沒有,3
你沒怎麼了？,3
真的假的，你沒有來,3
你沒欸,3
所以你覺得你沒有？,3
那怎麼辦？,3
你怎麼看你沒有來？,3
我不懂，你沒有來學,3
你說你沒是對的嗎？,3
你剛剛不是說你沒有？,3
真的假的，你沒,3
你沒有來學真的假的,3
你會你沒嗎？,3
這樣是不是不太好？,3
怎麼會這樣，你沒,3
真的假的，你沒有,3
你沒有來怎麼了？,3
你說你沒有來是對的嗎？,3
結果你沒有來學,3
好奇問一下，你沒有來,3
怎麼會這樣，你沒有來學,3
你沒有欸,3
蛤？你沒,3
你會你沒有來學嗎？,3
你沒有來學啦,3
所以你覺得我今天？,4
他們說我今是真的嗎？,4
蛤？我今天,4
我今啦,4
怎麼會這樣，我今天是來,4
好奇問一下，我今天,4
結果我今天,4
結果我今,4
你怎麼看我今天？,4
你剛剛不是說我今天是？,4
結果我今天是來,4
所以現在是我今天是來,4
你剛剛不是說我今天是來？,4
我今天啦,4
他們說我今天是是真的嗎？,4
結果我今天是,4
我今天是來到底怎麼回事？,4
我今天是啦,4
我今天是來怎麼了？,4
所以現在是我今,4
我今天是到底怎麼回事？,4
你怎麼看我今天是來？,4
我今天是欸,4
你怎麼看我今天是？,4
我今天是來欸,4
我不懂，我今,4
我今天怎麼了？,4
所以你覺得我今天是？,4
那如果是你你會怎樣？,4
你說我今天是來是對的嗎？,4
他們說我今天是真的嗎？,4
怎麼會這樣，我今天是,4
你剛剛不是說我今？,4
你說我今是對的嗎？,4
你會我今天嗎？,4
蛤？我今天是來,4
你說我今天是是對的嗎？,4
所以現在是我今天,4
我今到底怎麼回事？,4
怎麼會這樣，我今,4
所以你覺得我今？,4
我今天真的假的,4
我今欸,4
我今天是來真的假的,4
我今天是咧？,4
你怎麼看我今？,4
蛤？我今,4
我今天咧？,4
好奇問一下，我今天是來,4
蛤？我今天是,4
那怎麼辦？,4
你會我今嗎？,4
我今天欸,4
我今天是來啦,4
我今天是怎麼了？,4
真的假的，我今天是,4
你會我今天是嗎？,4
我不懂，我今天,4
真的假的，我今天是來,4
這樣是不是不太好？,4
好奇問一下，我今,4
你剛剛不是說我今天？,4
真的假的，我今天,4
怎麼會這樣，我今天,4
所以現在是我今天是,4
好奇問一下，我今天是,4
所以你覺得我今天是來？,4
我不懂，我今天是來,4
我今真的假的,4
我今天是真的假的,4
我今天是來咧？,4
怎麼會這樣，我要退,5
我要退出怎麼了？,5
我要退啦,5
我要咧？,5
我要退怎麼了？,5
所以你覺得我要退出C？,5
我要欸,5
你說我要退出C是對的嗎？,5
你說我要退是對的嗎？,5
你剛剛不是說我要退出？,5
怎麼會這樣，我要退出,5
你會我要退出嗎？,5
我要退出C咧？,5
好奇問一下，我要,5
你怎麼看我要？,5
所以你覺得我要退？,5
結果我要退出C,5
他們說我要退出C是真的嗎？,5
你剛剛不是說我要退出C？,5
所以現在是我要,5
真的假的，我要退出,5
蛤？我要退,5
我要退出C怎麼了？,5
真的假的，我要,5
好奇問一下，我要退出C,5
我要退到底怎麼回事？,5
我要退欸,5
你剛剛不是說我要退？,5
我不懂，我要退出C,5
你說我要是對的嗎？,5
我要真的假的,5
真的假的，我要退,5
那如果是你你會怎樣？,5
我要退真的假的,5
蛤？我要,5
結果我要退,5
結果我要退出,5
我要啦,5
真的假的，我要退出C,5
你怎麼看我要退？,5
結果我要,5
所以現在是我要退出C,5
好奇問一下，我要退,5
所以現在是我要退,5
你說我要退出是對的嗎？,5
所以現在是我要退出,5
所以你覺得我要？,5
我不懂，我要退出,5
你會我要退出C嗎？,5
我要退咧？,5
你會我要嗎？,5
我要退出到底怎麼回事？,5
他們說我要退出是真的嗎？,5
你剛剛不是說我要？,5
我要退出欸,5
他們說我要是真的嗎？,5
我要退出C啦,5
那怎麼辦？,5
蛤？我要退出,5
這樣是不是不太好？,5
怎麼會這樣，我要退出C,5
我要退出C真的假的,5
我要到底怎麼回事？,5
我要退出咧？,5
你怎麼看我要退出？,5
怎麼會這樣，我要,5
我要怎麼了？,5
我不懂，我要退,5
好奇問一下，我要退出,5
你怎麼看我要退出C？,5
我不懂，我要,5
我要退出C到底怎麼回事？,5
真的假的，等一下,6
等一咧？,6
蛤？等一下我,6
好奇問一下，等一下我們,6
等一下我們真的假的,6
等一到底怎麼回事？,6
你會等一嗎？,6
蛤？等一,6
所以現在是等一,6
所以現在是等一下我們,6
等一下我到底怎麼回事？,6
結果等一,6
怎麼會這樣，等一,6
他們說等一下我是真的嗎？,6
他們說等一是真的嗎？,6
所以現在是等一下,6
結果等一下,6
你會等一下我嗎？,6
結果等一下我們,6
等一下我怎麼了？,6
